,name,top1_acc,batch_size,requires_grad,mean_time,mean_vram,n_params
0,vit_s_8,80.0,64,False,169.65425545828683,83.609375,21670272
1,vit_b_32,75.912,64,False,37.58369403415256,337.173828125,88224232
2,vgg11,69.02,64,False,19.156840324401855,507.208984375,132863336
3,vgg11_bn,70.37,64,False,22.3167535993788,507.255859375,132868840
4,resnet18,69.758,64,False,7.000302261776394,44.6904296875,11689512
5,densenet121,74.434,64,False,30.90548981560601,30.85888671875,7978856
6,mobilenet_v3_small,67.668,64,False,4.913603570726183,9.80517578125,2542856
7,vit_s_8,80.0,64,True,169.736820765904,83.609375,21670272
8,vit_b_32,75.912,64,True,39.10572391086154,337.173828125,88224232
9,vgg11,69.02,64,True,19.186371697319878,507.208984375,132863336
10,vgg11_bn,70.37,64,True,24.73677486843533,507.255859375,132868840
11,resnet18,69.758,64,True,8.003559947013855,44.6904296875,11689512
12,densenet121,74.434,64,True,34.33225674099393,30.85888671875,7978856
13,mobilenet_v3_small,67.668,64,True,6.964540428585476,9.80517578125,2542856
