,name,time,inlier,requires_grad
0,vit_s_8,1448.204833984375,False,False
1,vit_s_8,111.804931640625,False,False
2,vit_s_8,104.04988861083984,True,False
3,vit_s_8,99.79401397705078,False,False
4,vit_s_8,102.23577880859375,True,False
5,vit_s_8,103.8387222290039,True,False
6,vit_s_8,105.36185455322266,True,False
7,vit_s_8,101.6509780883789,True,False
8,vit_s_8,104.0769271850586,True,False
9,vit_s_8,105.29849243164062,True,False
10,vit_s_8,105.64710235595703,True,False
11,vit_s_8,105.75068664550781,True,False
12,vit_s_8,105.8589096069336,True,False
13,vit_s_8,102.6937255859375,True,False
14,vit_s_8,106.2298583984375,True,False
15,vit_s_8,104.46771240234375,True,False
16,vit_s_8,102.68473815917969,True,False
17,vit_s_8,106.32157135009766,True,False
18,vit_s_8,104.15936279296875,True,False
19,vit_s_8,103.61138916015625,True,False
20,vit_s_8,103.07218933105469,True,False
21,vit_s_8,103.44579315185547,True,False
22,vit_s_8,105.72166442871094,True,False
23,vit_s_8,105.0580825805664,True,False
24,vit_s_8,103.90204620361328,True,False
25,vit_s_8,104.9339828491211,True,False
26,vit_s_8,103.50211334228516,True,False
27,vit_s_8,104.3272933959961,True,False
28,vit_s_8,104.73939514160156,True,False
29,vit_s_8,102.77362823486328,True,False
30,vit_s_8,103.74944305419922,True,False
31,vit_s_8,101.82978820800781,True,False
32,vit_s_8,102.44032287597656,True,False
33,vit_s_8,103.97007751464844,True,False
34,vit_s_8,103.01859283447266,True,False
35,vit_s_8,102.88674926757812,True,False
36,vit_s_8,103.19625854492188,True,False
37,vit_s_8,102.83055877685547,True,False
38,vit_s_8,104.01209259033203,True,False
39,vit_s_8,102.20537567138672,True,False
40,vit_s_8,103.86361694335938,True,False
41,vit_s_8,103.57154846191406,True,False
42,vit_s_8,104.3285140991211,True,False
43,vit_s_8,103.55443572998047,True,False
44,vit_s_8,103.52022552490234,True,False
45,vit_s_8,102.92095947265625,True,False
46,vit_s_8,103.19859313964844,True,False
47,vit_s_8,103.2701416015625,True,False
48,vit_s_8,102.29519653320312,True,False
49,vit_s_8,103.23190307617188,True,False
50,vit_s_8,103.63961791992188,True,False
51,vit_s_8,104.23209381103516,True,False
52,vit_s_8,101.66770935058594,True,False
53,vit_s_8,105.0379867553711,True,False
54,vit_s_8,99.28854370117188,False,False
55,vit_s_8,106.59766387939453,True,False
56,vit_s_8,105.27302551269531,True,False
57,vit_s_8,102.53475189208984,True,False
58,vit_s_8,98.73868560791016,False,False
59,vit_s_8,100.58879852294922,True,False
60,vit_s_8,102.16928100585938,True,False
61,vit_s_8,105.25033569335938,True,False
62,vit_s_8,98.81238555908203,False,False
63,vit_s_8,102.6081314086914,True,False
64,vit_s_8,102.9164810180664,True,False
65,vit_s_8,101.22434997558594,True,False
66,vit_s_8,103.3311996459961,True,False
67,vit_s_8,103.74317169189453,True,False
68,vit_s_8,122.72611236572266,False,False
69,vit_s_8,100.96697235107422,True,False
70,vit_s_8,103.0455322265625,True,False
71,vit_s_8,99.53263854980469,False,False
72,vit_s_8,101.05913543701172,True,False
73,vit_s_8,110.21878051757812,False,False
74,vit_s_8,103.0723876953125,True,False
75,vit_s_8,102.60447692871094,True,False
76,vit_s_8,103.27648162841797,True,False
77,vit_s_8,102.62854766845703,True,False
78,vit_s_8,108.96854400634766,False,False
79,vit_s_8,102.51993560791016,True,False
80,vit_s_8,92.76844787597656,False,False
81,vit_s_8,103.39379119873047,True,False
82,vit_s_8,103.55430603027344,True,False
83,vit_s_8,104.1470718383789,True,False
84,vit_s_8,99.90518188476562,True,False
85,vit_s_8,103.39794921875,True,False
86,vit_s_8,103.57123565673828,True,False
87,vit_s_8,104.21485137939453,True,False
88,vit_s_8,124.69046020507812,False,False
89,vit_s_8,103.9483871459961,True,False
90,vit_s_8,102.81209564208984,True,False
91,vit_s_8,102.80140686035156,True,False
92,vit_s_8,103.95216369628906,True,False
93,vit_s_8,108.78323364257812,False,False
94,vit_s_8,104.54271697998047,True,False
95,vit_s_8,104.60249328613281,True,False
96,vit_s_8,99.91645050048828,True,False
97,vit_s_8,106.70745849609375,True,False
98,vit_s_8,103.95030212402344,True,False
99,vit_s_8,104.61840057373047,True,False
100,vit_b_32,96.77836608886719,False,False
101,vit_b_32,39.24476623535156,False,False
102,vit_b_32,37.275455474853516,False,False
103,vit_b_32,37.10220718383789,False,False
104,vit_b_32,37.13974380493164,False,False
105,vit_b_32,37.20604705810547,False,False
106,vit_b_32,22.267168045043945,True,False
107,vit_b_32,22.040672302246094,True,False
108,vit_b_32,22.275487899780273,True,False
109,vit_b_32,21.536991119384766,True,False
110,vit_b_32,21.762367248535156,True,False
111,vit_b_32,17.837663650512695,True,False
112,vit_b_32,18.08937644958496,True,False
113,vit_b_32,18.698911666870117,True,False
114,vit_b_32,18.269216537475586,True,False
115,vit_b_32,19.990976333618164,True,False
116,vit_b_32,19.085664749145508,True,False
117,vit_b_32,17.814624786376953,True,False
118,vit_b_32,19.766687393188477,True,False
119,vit_b_32,19.12009620666504,True,False
120,vit_b_32,19.460704803466797,True,False
121,vit_b_32,17.612415313720703,True,False
122,vit_b_32,19.4553279876709,True,False
123,vit_b_32,19.420799255371094,True,False
124,vit_b_32,18.248096466064453,True,False
125,vit_b_32,19.231168746948242,True,False
126,vit_b_32,18.82195281982422,True,False
127,vit_b_32,20.924991607666016,True,False
128,vit_b_32,19.151264190673828,True,False
129,vit_b_32,21.744672775268555,True,False
130,vit_b_32,20.15340805053711,True,False
131,vit_b_32,21.38912010192871,True,False
132,vit_b_32,19.332672119140625,True,False
133,vit_b_32,20.67024040222168,True,False
134,vit_b_32,20.306495666503906,True,False
