,name,top1_acc,batch_size,requires_grad,mean_time,mean_vram,n_params
0,vit_s_8,80.0,64,False,895.2203640407986,183.284375,21670272
1,vit_b_32,75.912,64,False,155.30960518973214,340.8732421875,88224232
2,vgg11,69.02,64,False,139.43861389160156,507.208984375,132863336
3,vgg11_bn,70.37,64,False,156.1975860595703,510.9552734375,132868840
4,resnet18,69.758,64,False,54.868829345703126,48.38984375,11689512
5,densenet121,74.434,64,False,180.75718010796442,38.25771484375,7978856
6,mobilenet_v3_small,67.668,64,False,21.693955527411568,9.80517578125,2542856
7,vit_s_8,80.0,64,True,898.9724595811632,8701.6162109375,21670272
8,vit_b_32,75.912,64,True,160.72393629286023,535.48427734375,88224232
9,vgg11,69.02,64,True,139.75375027126736,805.3583984375,132863336
10,vgg11_bn,70.37,64,True,169.51697455512152,1466.158984375,132868840
11,resnet18,69.758,64,True,60.1072193145752,44.6904296875,11689512
12,densenet121,74.434,64,True,202.94933912489148,30.85888671875,7978856
13,mobilenet_v3_small,67.668,64,True,26.217820739746095,9.80517578125,2542856
